Etablissement;Code_Guichet;Nom_Guichet;Rue;Complement_adresse;Ville;Code_Postal;Horaires;Infos_Complementaires;Raison_Sociale;Url_site;coordonnees_gps;ouverture_lundi;ouverture_mardi;ouverture_mercredi;ouverture_jeudi;ouverture_vendredi;ouverture_samedi;ouverture_dimanche;ouverture_lundi_matin;fermeture_lundi_matin;ouverture_lundi_apresmidi;fermeture_lundi_apresmidi;ouverture_mardi_matin;fermeture_mardi_matin;ouverture_mardi_apresmidi;fermeture_mardi_apresmidi;ouverture_mercredi_matin;fermeture_mercredi_matin;ouverture_mercredi_apresmidi;fermeture_mercredi_apresmidi;ouverture_jeudi_matin;fermeture_jeudi_matin;ouverture_jeudi_apresmidi;fermeture_jeudi_apresmidi;ouverture_vendredi_matin;fermeture_vendredi_matin;ouverture_vendredi_apresmidi;fermeture_vendredi_apresmidi;ouverture_samedi_matin;fermeture_samedi_matin;ouverture_samedi_apresmidi;fermeture_samedi_apresmidi;ouverture_dimanche_matin;fermeture_dimanche_matin;ouverture_dimanche_apresmidi;fermeture_dimanche_apresmidi
10107;00319;COLLEGIEN BAY 2;36, mail Est;Ctre Cial;COLLEGIEN;77090;Lu0000000000000000Ma0900130014001800Me0900130014001800Je1000130014001800Ve0900130014001800Sa0900130014001700Di0000000000000000;;BRED-Banque Populaire;https://www.bred.fr/;48.832789,2.673676;Lu0000000000000000;Ma0900130014001800;Me0900130014001800;Je1000130014001800;Ve0900130014001800;Sa0900130014001700;Di0000000000000000;0000;0000;0000;0000;0900;1300;1400;1800;0900;1300;1400;1800;1000;1300;1400;1800;0900;1300;1400;1800;0900;1300;1400;1700;0000;0000;0000;0000
10107;00620;PITON ST LEU;149, ch Départemental 11;Ctre Cial Super U;ST LEU;97436;Lu0000000000000000Ma0800123013301700Me0800123013301700Je0900123013301700Ve0800123013301700Sa0800130000000000Di0000000000000000;;BRED-Banque Populaire;https://www.bred.fr/;-21.172829,55.306249;Lu0000000000000000;Ma0800123013301700;Me0800123013301700;Je0900123013301700;Ve0800123013301700;Sa0800130000000000;Di0000000000000000;0000;0000;0000;0000;0800;1230;1330;1700;0800;1230;1330;1700;0900;1230;1330;1700;0800;1230;1330;1700;0800;1300;0000;0000;0000;0000;0000;0000
16607;00024;CABESTANY MAS GUERIDO;2, rue Gay Lussac;Ctre Cial - Mas Guérido;CABESTANY;66330;Lu0900123013301730Ma0900123013301730Me0900123013301730Je0900123015001730Ve0900123013301730Sa0000000000000000Di0000000000000000;Ouverture uniquement sur rendez-vous les jeudis après-midi;Banque Populaire du Sud;https://www.sud.banquepopulaire.fr/;42.691109,2.920824;Lu0900123013301730;Ma0900123013301730;Me0900123013301730;Je0900123015001730;Ve0900123013301730;Sa0000000000000000;Di0000000000000000;0900;1230;1330;1730;0900;1230;1330;1730;0900;1230;1330;1730;0900;1230;1500;1730;0900;1230;1330;1730;0000;0000;0000;0000;0000;0000;0000;0000
16607;00208;NIMES COURBESSAC;100, rue des Mousquetaires;Ctre Cial Nîmes Soleil;NIMES;30900;Lu0000000000000000Ma0830123013451745Me0830123013451745Je0830123015151745Ve0830123013451745Sa0830124500000000Di0000000000000000;Ouverture uniquement sur rendez-vous les jeudis après-midi;Banque Populaire du Sud;https://www.sud.banquepopulaire.fr/;43.838247,4.315971;Lu0000000000000000;Ma0830123013451745;Me0830123013451745;Je0830123015151745;Ve0830123013451745;Sa0830124500000000;Di0000000000000000;0000;0000;0000;0000;0830;1230;1345;1745;0830;1230;1345;1745;0830;1230;1515;1745;0830;1230;1345;1745;0830;1245;0000;0000;0000;0000;0000;0000
16607;00248;MONTPELLIER MAS DREVON;25, rue Guillaume Janvier;Ctre Cial Point 2000;MONTPELLIER;34070;Lu0000000000000000Ma0830123013301730Me0830123013301730Je0830123015001730Ve0830123013301730Sa0830124500000000Di0000000000000000;Ouverture uniquement sur rendez-vous les jeudis après-midi;Banque Populaire du Sud;https://www.sud.banquepopulaire.fr/;43.596336,3.865731;Lu0000000000000000;Ma0830123013301730;Me0830123013301730;Je0830123015001730;Ve0830123013301730;Sa0830124500000000;Di0000000000000000;0000;0000;0000;0000;0830;1230;1330;1730;0830;1230;1330;1730;0830;1230;1500;1730;0830;1230;1330;1730;0830;1245;0000;0000;0000;0000;0000;0000
16607;00249;MONTPELLIER RICHTER;47, ave de la Pompignane;Résidence Artemis;MONTPELLIER;34000;Lu0000000000000000Ma0900133014301800Me0900133014301800Je0900123015001800Ve0900133014301800Sa0830124500000000Di0000000000000000;Ouverture uniquement sur rdv les jeudis après-midi et les samedis matin;Banque Populaire du Sud;https://www.sud.banquepopulaire.fr/;43.606473,3.898264;Lu0000000000000000;Ma0900133014301800;Me0900133014301800;Je0900123015001800;Ve0900133014301800;Sa0830124500000000;Di0000000000000000;0000;0000;0000;0000;0900;1330;1430;1800;0900;1330;1430;1800;0900;1230;1500;1800;0900;1330;1430;1800;0830;1245;0000;0000;0000;0000;0000;0000
16607;00358;ST DIDIER SOUS AUBENAS MILLET;966, Rte de Montélimar;Quartier des Champs;SAINT DIDIER SOUS AUBENAS;07200;Lu0845123014001745Ma0845123014001745Me0845123014001745Je0845123015301745Ve0845123014001745Sa0000000000000000Di0000000000000000;Ouverture uniquement sur rendez-vous les jeudis après-midi;Banque Populaire du Sud;https://www.sud.banquepopulaire.fr/;44.608656,4.413297;Lu0845123014001745;Ma0845123014001745;Me0845123014001745;Je0845123015301745;Ve0845123014001745;Sa0000000000000000;Di0000000000000000;0845;1230;1400;1745;0845;1230;1400;1745;0845;1230;1400;1745;0845;1230;1530;1745;0845;1230;1400;1745;0000;0000;0000;0000;0000;0000;0000;0000
16607;00418;AG NARBONNE EST BDP;12, RUE ERNEST COGNACQ;ZAC DE BONNE SOURCE;NARBONNE;11100;Lu0830120013301730Ma0830120013301730Me0830120013301730Je0830120015001730Ve0830120013301730Sa0000000000000000Di0000000000000000;;Banque Populaire du Sud;https://www.sud.banquepopulaire.fr/;43.180525,3.034242;Lu0830120013301730;Ma0830120013301730;Me0830120013301730;Je0830120015001730;Ve0830120013301730;Sa0000000000000000;Di0000000000000000;0830;1200;1330;1730;0830;1200;1330;1730;0830;1200;1330;1730;0830;1200;1500;1730;0830;1200;1330;1730;0000;0000;0000;0000;0000;0000;0000;0000
10107;00682;STE SUZANNE DE LA REUNION;Rues Albany, Cayenne et Mendès France;Les Badamiers;STE SUZANNE;97441;Lu0000000000000000Ma0800123013301700Me0800123013301700Je0900123013301700Ve0800123013301700Sa0800130000000000Di0000000000000000;;BRED-Banque Populaire;https://www.bred.fr/;-20.906213,55.606974;Lu0000000000000000;Ma0800123013301700;Me0800123013301700;Je0900123013301700;Ve0800123013301700;Sa0800130000000000;Di0000000000000000;0000;0000;0000;0000;0800;1230;1330;1700;0800;1230;1330;1700;0900;1230;1330;1700;0800;1230;1330;1700;0800;1300;0000;0000;0000;0000;0000;0000
10107;00712;SAVIGNY-LE-TEMPLE;15, rue de l'Orée du Bois;Ctre Cial Boissénart;SAVIGNY-LE-TEMPLE;77176;Lu0000000000000000Ma0900130014001800Me0900130014001800Je1000130014001800Ve0900130014001800Sa0900130014001700Di0000000000000000;ouverture uniquement sur RDV les après-midi;BRED-Banque Populaire;https://www.bred.fr/;48.5865,2.596603;Lu0000000000000000;Ma0900130014001800;Me0900130014001800;Je1000130014001800;Ve0900130014001800;Sa0900130014001700;Di0000000000000000;0000;0000;0000;0000;0900;1300;1400;1800;0900;1300;1400;1800;1000;1300;1400;1800;0900;1300;1400;1800;0900;1300;1400;1700;0000;0000;0000;0000
