Numéro de série;Code_Guichet;Marque;Date d'installation;Type d'implantation;Modèle
5310064579;609;TNX;2017-02-02T12:32:27+01:00;LSB;WINCOR NIXDORF CINEO 2040
5310064623;335;TNX;2017-04-07T02:00:00+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310064669;236;TNX;2017-09-08T18:46:40+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310064714;352;TNX;2017-06-08T02:00:00+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310064770;658;TNX;2017-09-05T18:51:52+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310064825;137;TNX;2017-09-15T18:37:32+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310064875;154;TNX;2017-09-06T18:25:59+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310064907;665;TNX;2017-09-14T18:29:11+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310064951;129;TNX;2017-07-12T12:46:51+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310064986;241;TNX;2017-06-23T10:10:52+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072556;357;TNX;2017-07-19T02:00:00+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072565;262;TNX;2017-09-15T18:54:00+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072581;483;TNX;2017-09-12T19:02:11+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072586;769;TNX;2017-09-18T18:42:02+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072609;755;TNX;2017-09-26T18:36:21+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072620;484;TNX;2017-09-28T10:16:28+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072631;224;TNX;2017-10-13T18:34:22+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072656;152;TNX;2017-10-09T18:31:30+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072699;281;TNX;2017-10-31T09:59:29+01:00;LSB;WINCOR NIXDORF CINEO 2040
5310072708;758;TNX;2017-11-28T12:00:35+01:00;LSB;WINCOR NIXDORF CINEO 2040
5310072717;217;TNX;2017-11-16T16:41:06+01:00;LSB;WINCOR NIXDORF CINEO 2040
5310072726;484;TNX;2017-11-09T16:50:52+01:00;LSB;WINCOR NIXDORF CINEO 2040
5310072740;644;TNX;2017-12-11T17:22:41+01:00;LSB;WINCOR NIXDORF CINEO 2040
5310072748;120;TNX;2017-11-07T15:10:07+01:00;LSB;WINCOR NIXDORF CINEO 2040
5310072753;341;TNX;2017-11-17T09:56:41+01:00;Interne;WINCOR NIXDORF CINEO 2040
5310072762;735;TNX;2017-12-11T13:06:48+01:00;LSB;WINCOR NIXDORF CINEO 2040
5310072779;601;NCR;2018-11-05T10:39:55+01:00;LSB;WINCOR NIXDORF CINEO 2040
5310072786;247;NCR;2018-09-18T17:55:54+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072811;242;TNX;2018-09-25T13:16:29+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072813;396;TNX;2018-03-14T15:50:56+01:00;LSB;WINCOR NIXDORF CINEO 2040
5310072825;178;NCR;2018-10-17T10:04:45+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072829;218;TNX;2018-07-21T11:21:02+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072841;374;DBD;2018-02-09T14:51:07+01:00;LSB;WINCOR NIXDORF CINEO 2040
5310072857;210;TNX;2018-02-05T15:44:32+01:00;LSB;WINCOR NIXDORF CINEO 2040
5310072871;154;TNX;2018-07-10T17:27:46+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072885;374;TNX;2018-04-26T19:34:11+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072893;222;TNX;2018-07-16T16:08:27+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072893;221;NCR;2018-09-11T17:37:49+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072898;114;TNX;2018-08-16T09:51:05+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072913;123;TNX;2018-07-06T16:01:29+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072932;463;TNX;2018-06-01T19:15:50+02:00;Interne;WINCOR NIXDORF CINEO 2040
5310072938;152;TNX;2018-03-06T13:51:10+01:00;LSB;WINCOR NIXDORF CINEO 2040
5310072957;841;TNX;2018-07-17T10:20:31+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310072992;336;TNX;2018-04-27T11:41:11+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310073005;351;TNX;2018-05-28T14:19:52+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310073017;182;TNX;2018-02-20T12:19:26+01:00;LSB;WINCOR NIXDORF CINEO 2040
5310073046;397;TNX;2018-07-02T11:25:48+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310073072;154;TNX;2018-03-27T11:32:52+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310073076;316;NCR;2018-07-16T11:43:49+02:00;LSB;WINCOR NIXDORF CINEO 2040
5310073083;174;TNX;2018-03-23T15:47:03+01:00;LSB;WINCOR NIXDORF CINEO 2040
33.268.615;246;NCR;1998-12-01T01:00:00+01:00;Externe;NCR 5884
